gene_id	gene_name	SRR1576457	SRR1576458	SRR1576459	SRR1576460	SRR1576461	SRR1576462	SRR1576463	SRR1576464	SRR1576465	SRR1576514	SRR1576515	SRR1576516
FBgn0001197	His2Av	1039	1010	1175	997	1162	1223	1099	1160	1189	1316	1070	1008
FBgn0001202	hook	665	529	753	709	641	695	818	714	677	711	538	537
FBgn0001206	Hmr	315	273	372	307	292	348	318	290	317	301	288	307
FBgn0001208	Hn	2863.001	1735.001	2460.999	2639	2037	2994	2736	2083	1909.001	2606	2180	1540
FBgn0001215	Hrb98DE	9246.001	8677.001	10639	10171.999	9515	10025.001	9504	9494	9044	10603	8745.001	10805
FBgn0001216	Hsc70-1	8117	7160.001	8873	6938	6785	7441	8070	6863	7113.999	7386	6437	6827
FBgn0001217	Hsc70-2	5503	4636	7529	5581	6831	6200	5087	5960	6112	7332	5788	5779
FBgn0001218	Hsc70-3	18781	14176	21049	18150	17586.999	19910	19764	15764	15865	19875	15443.999	14953.999
FBgn0001220	Hsc70-5	6826	5420	8378	7089	6930	7936	6937	6889	6716	8821	6717	6033
FBgn0001222	Hsf	1088	748	1095	1176.001	1088	1175	1077	871	951.001	1234	931	931.999
FBgn0001223	Hsp22	186.585	178.797	201.487	330.581	509.285	388.574	284.132	185.18	295.937	431.209	179.802	225.953
FBgn0001224	Hsp23	637	529	814	622	707	750	608	816	686	804	569	489
FBgn0001225	Hsp26	2083	2259	2927	1936	2361	2405	2434	2554	2624	2203	1754	2128
FBgn0001226	Hsp27	2791	2733	3726	2697	2741.787	2942.651	3059.148	2887.644	2947.154	2937.614	2323.154	2810.028
FBgn0001227	Hsp67Ba	307.52	248.727	321.438	190.552	274.503	194.903	248.638	250.039	226.42	189.215	151.249	228.804
FBgn0001228	CG4456	845.415	937.203	1249.513	653.419	890.715	970.427	866.868	1017.821	1015.064	1069.791	1154.198	891.047
FBgn0001229	Hsp67Bc	68	56	101	58	51	53	82	58	75	48	44	32
FBgn0001230	Hsp68	2024	2025	2338	1548	1666	1805	2252	2085	2084	1933	1570	1408
FBgn0001233	Hsp83	20776	16520	24480	11696	13148	14141	23358	23775	22871	17225	13430	11701
